x,USD Growth,JPY Growth
19/06/15,-0.40%,-0.40%
18/06/15,0.90%,0.50%
17/06/15,-1.10%,-0.10%
16/06/15,-0.60%,-1.00%
15/06/15,0.00%,0.10%
12/06/15,0.00%,0.20%
11/06/15,0.10%,0.10%
10/06/15,0.40%,-0.20%
09/06/15,-0.30%,0.60%
08/06/15,-0.80%,0.20%
05/06/15,0.50%,0.10%
04/06/15,0.90%,0.40%
03/06/15,-1.60%,-1.40%
02/06/15,-0.90%,-0.70%
01/06/15,-0.80%,-1.30%
29/05/15,0.20%,0.10%
28/05/15,-0.70%,-0.40%
27/05/15,-0.30%,-0.70%
26/05/15,0.60%,-0.20%
25/05/15,0.50%,-0.50%
22/05/15,1.70%,1.20%
21/05/15,-0.30%,-0.20%
20/05/15,-0.10%,-0.30%
19/05/15,0.60%,-0.10%
18/05/15,1.90%,1.50%
15/05/15,-0.50%,-0.40%
14/05/15,0.80%,0.30%
13/05/15,-1.70%,-1.30%
12/05/15,0.20%,0.40%
11/05/15,-0.90%,-0.90%
08/05/15,0.70%,0.90%
07/05/15,0.70%,-0.10%
06/05/15,-0.70%,-0.10%
05/05/15,-1.00%,-0.50%
04/05/15,0.30%,0.10%
30/04/15,0.60%,-0.60%
29/04/15,-1.90%,-1.50%
28/04/15,-0.70%,-0.80%
27/04/15,-1.00%,-0.70%
24/04/15,0.00%,0.10%
23/04/15,-0.50%,0.00%
22/04/15,-0.30%,-0.70%
21/04/15,-0.40%,-0.50%
20/04/15,0.20%,-0.10%
17/04/15,0.80%,0.60%
16/04/15,-1.00%,-0.60%
15/04/15,-1.20%,-0.90%
14/04/15,-0.10%,0.10%
13/04/15,-0.10%,0.40%
10/04/15,0.20%,0.10%
09/04/15,1.90%,1.50%
08/04/15,0.80%,0.70%
07/04/15,-0.10%,0.20%
02/04/15,-0.20%,-0.60%
01/04/15,-0.70%,-0.20%
31/03/15,0.00%,-0.30%
30/03/15,0.80%,0.80%
27/03/15,0.10%,-0.50%
26/03/15,1.10%,1.00%
25/03/15,0.10%,0.40%
24/03/15,-0.30%,-0.20%
23/03/15,-0.30%,-0.10%
20/03/15,-1.20%,-0.40%
19/03/15,-0.90%,-0.90%
18/03/15,-0.80%,-0.60%
17/03/15,0.40%,0.40%
16/03/15,-0.70%,-0.70%
13/03/15,0.10%,0.40%
12/03/15,0.40%,-0.10%
11/03/15,-0.30%,0.00%
10/03/15,1.50%,1.50%
09/03/15,1.10%,0.80%
06/03/15,0.90%,0.10%
05/03/15,1.00%,1.20%
04/03/15,0.50%,0.00%
03/03/15,0.40%,0.40%
02/03/15,0.50%,0.50%
27/02/15,0.10%,-0.30%
26/02/15,0.70%,0.40%
25/02/15,0.30%,0.30%
24/02/15,-0.20%,0.30%
23/02/15,-0.30%,-0.60%
20/02/15,0.00%,-0.40%
19/02/15,0.80%,1.20%
18/02/15,-0.10%,0.10%
17/02/15,0.40%,-0.10%
16/02/15,-0.10%,-0.30%
13/02/15,-0.20%,0.10%
12/02/15,-0.50%,0.20%
11/02/15,-0.10%,-0.20%
10/02/15,-0.20%,-0.60%
09/02/15,-0.20%,-0.70%
06/02/15,1.50%,0.40%
05/02/15,-0.30%,-0.20%
04/02/15,0.30%,0.40%
03/02/15,-0.60%,-0.80%
02/02/15,-0.60%,-0.30%
30/01/15,0.00%,0.00%
29/01/15,0.10%,0.30%
28/01/15,0.30%,0.20%
27/01/15,-0.30%,-0.50%
26/01/15,-0.50%,0.00%
23/01/15,-0.40%,-0.70%
22/01/15,3.80%,3.50%
21/01/15,-0.20%,-0.50%
20/01/15,-0.10%,1.00%
19/01/15,0.20%,-0.80%
16/01/15,-0.10%,-0.90%
15/01/15,1.00%,1.10%
14/01/15,0.60%,0.70%
13/01/15,0.10%,1.50%
12/01/15,0.20%,0.70%
09/01/15,0.10%,0.20%
08/01/15,-0.40%,0.10%
07/01/15,0.50%,0.10%
06/01/15,0.70%,0.40%
05/01/15,0.00%,0.90%
02/01/15,1.10%,1.50%
31/12/14,0.80%,0.00%
30/12/14,0.20%,0.10%
29/12/14,0.30%,1.10%
24/12/14,0.20%,0.10%
23/12/14,0.00%,-0.20%
22/12/14,0.40%,0.20%
19/12/14,0.20%,-0.40%
18/12/14,0.00%,-0.30%
17/12/14,1.30%,0.00%
16/12/14,0.70%,-0.10%
15/12/14,-0.90%,1.30%
12/12/14,0.20%,-0.20%
11/12/14,-0.20%,-0.10%
10/12/14,-0.30%,0.10%
09/12/14,-0.20%,0.50%
08/12/14,-0.90%,0.30%
05/12/14,0.80%,0.40%
04/12/14,-0.40%,-0.90%
03/12/14,0.20%,-0.30%
02/12/14,0.80%,0.60%
01/12/14,0.40%,-0.30%
28/11/14,0.10%,0.00%
27/11/14,0.00%,-0.70%
26/11/14,0.00%,0.20%
25/11/14,-0.40%,-0.20%
24/11/14,-0.10%,0.10%
21/11/14,0.10%,-0.20%
20/11/14,0.90%,1.20%
19/11/14,0.00%,-0.50%
18/11/14,-0.20%,-1.00%
17/11/14,-0.10%,-0.40%
14/11/14,-0.50%,-0.20%
13/11/14,0.20%,-0.70%
12/11/14,0.10%,-0.20%
11/11/14,-0.30%,0.20%
10/11/14,0.50%,-0.90%
07/11/14,-0.70%,0.20%
06/11/14,1.00%,0.30%
